,ASIN,title,price,rating,review_count,product_type
30,B086MBQKH2,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",305.0,4.7,4048,LAPTOP
31,B08KH2Q1FG,"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",849.0,4.6,683,LAPTOP
32,B086KJBKDW,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",718.0,4.7,2248,LAPTOP
37,B0894DBTRV,Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red,347.98,4.6,570,LAPTOP
39,B086226DDB,"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",694.0,4.5,3203,LAPTOP
40,B081K6MCL3,"New HP Pavilion 2-in-1 15.6"" HD Touchscreen Laptop Intel i5-8265U 8GB RAM 512GB SSD Bluetooth Windows 10",799.0,4.5,334,LAPTOP
41,B08BB9RWXD,"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",1168.99,4.6,555,LAPTOP
44,B087N5LKNL,"Newest HP 14"" HD WLED Backlit High Performance Business Laptop, AMD Athlon Silver 3050U up to 3.2GHz, 4GB DDR4, 128GB SSD, Wireless-AC, HDMI, Bluetooth, Webcam, SD Card Reader, Windows 10 S",353.9,4.4,829,LAPTOP
45,B087SD98F4,"HP Pavilion Laptop, 15.6"" Full HD IPS Touchscreen, 10th Gen Intel Core i5-1035G1 Processor up to 3.60GHz, 12GB RAM, 512GB PCIe NVMe SSD, Backlit Keyboard, HDMI, Wireless-AC, Bluetooth, Windows 10 Home",688.0,4.4,541,LAPTOP
46,B0886JS35F,"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0010nr, Royal Blue)",264.99,4.4,1426,LAPTOP
47,B08963JG8Y,"2020_HP 14 14.0"" WLED-Backlit Display Laptop, AMD Athlon Silver 3050U Up to 3.2GHz (Beats i5-7200U), 4GB DDR4 RAM, 128GB SSD, 802.11AC WiFi+ Bluetooth 4.2, Type-C, HDMI, Black, Windows 10",371.0,4.5,152,LAPTOP
57,B08PCN3MWX,"HP - 17.3"" HD+ Touchscreen Laptop - 10th Gen Intel Core i5 - 8GB Memory - 256GB SSD - Numeric Keypad - DVD-Writer - Windows 10 Home",669.0,5.0,1,LAPTOP
70,B08GSRRKSR,"Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM, 64GB Storage, Full HD IPS, Bluetooth, 2MP Webcam, Dual Band WiFi Laptop",269.95,4.2,414,LAPTOP
71,B08HSJZZGR,"HP 14 Series 14"" Laptop AMD Athlon 3020e 4GB RAM 64GB eMMc Snowflake White - AMD Athlon 3020e Dual-core - AMD Radeon Graphics - HP TrueVision 720p HD Camera - Windows 10 Home in S Mode - 10 hr ba",329.0,4.6,299,LAPTOP
72,B07D5N1PFY,"Fast Dell Latitude E5470 HD Business Laptop Notebook PC (Intel Core i5-6300U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WiFi, SC Card Reader) Win 10 Pro (Renewed).",413.99,4.3,551,LAPTOP
73,B08KRMGBC2,"Asus TUF FX505DT 15.6-inch FHD Gaming Laptop, AMD Quad Core Ryzen 5 3550H, Nvidia Geforce GTX 1650 4GB Graphics, 8GB DDR4 RAM, 256GB Solid State Drive, RGB Backlit Keyboard, Windows 10 Home, Black",715.0,4.6,40,LAPTOP
74,B08B5JW8JV,"Asus TUF FX505DT Gaming Laptop, 15.6” Full HD, AMD Ryzen 7 R7-3750H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-WB72, RGB Keyboard",749.0,4.5,2,LAPTOP
77,B08KFMFWZK,"2020 Lenovo IdeaPad 3 17"" Laptop, AMD Ryzen 7 3700U, Webcam, Fingerprint Reader, Numeric Keypad, Bluetooth, HDMI, AMD Radeon Vega 10 Graphics, Windows 10, Platinum Grey (12GB|128GB SSD|1TB HDD)",649.99,4.3,37,LAPTOP
78,B07WMDV7CW,"HP Stream 14-Inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode (14-cb159nr, Jet Black)",299.0,4.4,2158,LAPTOP
79,B08HCM9RRN,"HP 17.3"" Non-Touch Laptop Intel 10th Gen i5-1035G1, 1TB Hard Drive, 12GB Memory, DVD Writer, Backlit Keyboard, Windows 10 Home Silver",739.0,4.4,37,LAPTOP
80,B0821ZJBF8,"Jumper Laptop 13.3 inch 8GB RAM 128GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 128GB TF Cardand 1TB SSD Expansion",299.99,4.2,1345,LAPTOP
86,B08316YSKH,"CHUWI HeroBook Pro 14.1 inch Windows 10 Laptop Computer, 8G RAM / 256GB SSD with Intel Gmini Lake N4000 Notebook, Thin and Light",349.0,4.0,538,LAPTOP
87,B087M2CQG6,"Jumper Laptop X3 Air, 13.3"" Full HD IPS Display, Intel Celeron N4100 Processor, 8GB DDR4 RAM 128GB SSD Thin and Light Computer, DTS Sound, 180°Rotation, Full Metal Body, Mocha Brown - 2021 Upgraded",369.99,4.6,45,LAPTOP
88,B08HRVCN8K,"Jumper Windows 10 Laptop, Traditional Laptop Computers 13.3'' Mini Laptop Intel N3350 4GB RAM 64GB ROM Laptops Supports up to 256GB TF Card Expansion Office 365 Personal for 1 Year",259.0,4.0,74,LAPTOP
91,B08QYTC6Q3,"HP 17.3"" FHD IPS Laptop, Core i5-10210U (Beat i7-8665U), HD Webcam, Backlit Keyboard, HDMI, UHD Graphics, Windows 10 Home, 12GB Memory, 1TB HDD",639.99,5.0,1,LAPTOP
92,B08B3X4L95,"2020 HP Pavilion x360 14"" FHD WLED Touchscreen 2-in-1 Convertible Laptop, Intel Core i5-1035G1 up to 3.6GHz, 8GB DDR4, 256GB SSD, 802.11ac, Bluetooth, Webcam, HDMI, Fingerprint Reader, Windows 10",619.0,4.5,289,LAPTOP
93,B08NZSSR84,"Newest_Lenovo IdeaPad 3 15"" HD Touch Screen Laptop, Intel 10th Gen i5-1035G1 Processor, 12GB RAM, 256GB SSD, Webcam, WiFi+Bluetooth, HDMI, Windows 10 S, 1-Month AimCare Support",599.0,5.0,2,LAPTOP
94,B08D63M8BH,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” HD Touchscreen, Intel Celeron N4020 Processor, 4GB DDR4, 64GB Storage, Windows 10 Home in S Mode, Light Grey, TPM, Fingerprint, J401MA-DB02",299.99,4.4,46,LAPTOP
95,B08H6SCT6Q,"ASUS ZenBook Flip S Ultra Slim Laptop, 13.3” 4K UHD OLED Touch Display, Intel Evo Platform - Core i7-1165G7 CPU, 16GB RAM, 1TB SSD, Thunderbolt 4, TPM, Windows 10 Pro, Jade Black, UX371EA-XH77T",1549.99,4.1,30,LAPTOP
100,B08P9RVC81,"HP - Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 128GB SSD - Natural Silver - 14m-dw1013dx",499.0,4.7,6,LAPTOP
101,B08726QFRM,"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + IST Computers HDMI Cable",888.0,4.5,124,LAPTOP
102,B088KV2J71,"MICROSOFT Surface Laptop 3 - 15"" - CORE I5 1035G7 - 8 GB RAM - 128 GB SSD",1099.0,4.0,8,LAPTOP
103,B08HRZMQJR,"Jumper Ebook X3 13.3'' Laptop Computers New Office 365 Personal for 1 Year, Windows 10 Laptop, Intel N3350 4GB RAM 64GB ROM, Supports up to 128GB TF Card (Gray Office 4GB)",259.0,4.2,202,LAPTOP
104,B07XW266D9,"SAMSUNG XE350XBA-K01US Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi, Silver",277.73,4.4,1955,LAPTOP
108,B083S134NZ,"Lenovo 100E Chromebook 2ND Gen Laptop Computer, 11.6"" HD (1366 X 768) Display, MediaTek MT8173C Processor, 4GB RAM, eMMC TLC SSD, Powervr GX6250, Chrome OS, Black (32GB eMMC)",238.0,4.5,1277,LAPTOP
109,B08777BH1B,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i7-9750H, NVIDIA GeForce RTX 2060, 15.6"" Full HD IPS 144Hz Display, 16GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Waves MaxxAudio, Backlit Keyboard, AN515-54-728C",1049.99,4.6,897,LAPTOP
111,B0892ZYL16,"HP 15.6"" Touchscreen Laptop - 10 Gen Intel i5-1035G1 12GB SDRAM 1.0TB 5400RPM SATA Hard Drive",637.0,4.2,26,LAPTOP
112,B0848TB4VX,"Newest 2020 HP 14"" Laptop 10th Gen Intel Core i3-1005G1 Processor 1.2GHz 4GB DDR4 2666 SDRAM 128GB SSD Windows 10",395.0,4.5,369,LAPTOP
116,B081JC228Y,"2020 HP 17.3"" Laptop Computer/ 8th Gen Intel Quad-Core i5-8265U Up to 3.9GHz/ 8GB DDR4 RAM/ 256GB PCIe SSD/ DVD/ Bluetooth 4.2/ USB 3.1/ HDMI/ Windows 10 Home/ Black",899.0,4.6,700,LAPTOP
117,B08DLV3B3K,"2 in 1 Laptop Windows 10 Laptop Computers,Ezbook X1 FHD Touch Screen Laptop Display 11.6 inch 6GB RAM 128GB ROM",304.0,4.3,62,LAPTOP
118,B08CQCSM7F,"HP 15.6in Laptop (Intel Pentium Quad-Core N5000, 4GB RAM, 128GB SSD, HDMI, WiFi, Bluetooth, HD Webcam, Windows 10 S) (Renewed)",395.0,4.5,323,LAPTOP
120,B08FRQLX5G,"Lenovo ideapad 15.6in IPS Laptop, 4GB Memory, 128GB Solid State Drive, Windows 10, Almond (Renewed)",379.99,4.4,169,LAPTOP
121,B087Z4Z21R,"Lenovo - IdeaPad 15.6"" Laptop - AMD Ryzen 3 - 8GB Memory - 256GB Solid State Drive - Platinum Gray/IMR",499.0,4.5,126,LAPTOP
124,B08F3TNHFJ,"HP Stream 14 inches HD(1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 64GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Royal Blue(Renewed)",279.0,4.6,67,LAPTOP
125,B0892WCGZM,"ASUS Laptop L406 Thin and Light Laptop, 14” HD Display, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Storage, Wi-Fi 5, Windows 10, Microsoft 365, Slate Gray, L406MA-WH02",298.99,4.4,455,LAPTOP
126,B08GRZJ65R,"Lenovo IdeaPad 3 17"" HD+ LED Laptop, AMD Ryzen 7 3700U (4-Core), 12GB DDR4, 1TB HDD + 128GB SSD, AMD Radeon Vega 10, WiFi, Bluetooth, Webcam, Fingerprint Reader, Media Reader, Windows 10 w/ Accessory",699.0,4.3,20,LAPTOP
127,B07GCRHS5V,"Dell Latitude E7470 14in Laptop, Core i5-6300U 2.4GHz, 8GB Ram, 256GB SSD, Windows 10 Pro 64bit (Renewed)",429.99,4.4,358,LAPTOP
128,B08HSNRFTX,Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home in S Mode - Inspiron 15 3000 Series - New,385.0,4.5,23,LAPTOP
129,B085B3GFRL,"MSI GL65 Leopard 10SFK-062 15.6"" FHD 144Hz 3ms Thin Bezel Gaming Laptop Intel Core i7-10750H RTX2070 16GB 512GB NVMe SSD Win 10",1305.0,4.7,1295,LAPTOP
135,B07VZ39199,"HP Chromebook x360 14-inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",338.0,4.7,1215,LAPTOP
136,B08NHSVG6W,"2021 Newest HP Stream 14-inch HD Laptop, White, Intel N4020 up to 2.8 G, 4G RAM, 128G Space(64G eMMC+64G Micro SD), WiFi, Webcam, Bluetooth, Windows 10 S, Office 365 Personal for 1 Year, Allyflex MP",399.0,4.4,23,LAPTOP
137,B08LV5YSHL,"Daysky V14S Laptop, 14.1"" Full HD IPS Display, Intel Apollo N3450 Processor, 8GB DDR4 RAM 256GB SSD Thin and Light Computer, Backlit Keyboard, Full Metal Body, Windows 10, USB 3.0, Type C, Pink",399.99,4.6,13,LAPTOP
138,B07CSQDR4N,"HP 2018 Elitebook 840 G1 14inch HD LED-backlit anti-glare Laptop Computer, Intel Dual-Core i5-4300U up to 2.9GHz, 8GB RAM, 500GB HDD, USB 3.0, Bluetooth, Window 10 Professional (Renewed)",364.99,4.0,784,LAPTOP
139,B08M8P554T,"HP Stream 14"" HD Laptop , Intel Celeron N4000 , 4GB RAM, 64GB eMMC, HDMI, Webcam, WiFi, Bluetooth, Windows 10 S",295.0,5.0,8,LAPTOP
142,B07VPGC74L,"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",899.0,4.6,308,LAPTOP
143,B08HCMJ84M,"2020 15.6 inch Laptop, IPS Display, Intel 64-bit Quad-core celeron_j3455 Processor, 6GB RAM, 256GB SSD, scalable 1TB SSD Solid State Drive, Chocolate Keyboard, Windows 10",369.0,3.8,21,LAPTOP
145,B07VBK4SYS,"ASUS TUF FX505DT Gaming Laptop- 15.6"", 120Hz Full HD, AMD Ryzen 5 R5-3550H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, RGB Keyboard, Windows 10 64-bit - FX505DT-AH51",748.88,4.5,2138,LAPTOP
147,B07BZF4MYM,"Apple MacBook Air MJVM2LL/A 11.6 Inch Laptop (Intel Core i5 Dual-Core 1.6GHz up to 2.7GHz, 4GB RAM, 128GB SSD, Wi-Fi, Bluetooth 4.0, Integrated Intel HD Graphics 6000, Mac OS) (Renewed)",539.99,4.4,1386,LAPTOP
152,B08MBH12TZ,"HP 2-in-1 Convertible Chromebook, 14inch HD Touchscreen, Intel Quad-Core Pentium Silver N5030 Processor Up to 3.10GHz, 4GB Ram, 128GB SSD, Intel UHD Graphics, Webcam, Chrome OS(Renewed (14inch/128GB)",339.99,4.4,19,LAPTOP
154,B08C4BM44L,"AVITA 14"" Pura [CN6Q14] AMD A9 8GB RAM 128GB SSD IPS 1920 x 1080 HD Screen Windows 10 Laptop for Online Class (Glossy Purple)",319.99,4.1,73,LAPTOP
155,B08HKT9JH9,"2020 Dell Inspiron 15 15.6"" HD High Performance Laptop, Intel Core i3-1005G1 Processor, 4GB RAM, 128GB SSD, HDMI, USB 3.1, Webcam, Wireless-AC, Bluetooth, Wave MaxxAudio Pro, Windows 10 S, Black",445.0,4.3,10,LAPTOP
156,B086KKKT15,"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, Fingerprint Reader, Alexa Built-in, SF314-42-R9YN",668.0,4.6,1545,LAPTOP
159,B07C1HV2V1,"HP Elitebook 840 G1 14.0 Inch High Performanc Laptop Computer, Intel i5 4300U up to 2.9GHz, 16GB Memory, 256GB SSD, USB 3.0, Bluetooth, Window 10 Professional (Renewed)",395.99,4.0,504,LAPTOP
160,B08JZHV4BY,"Lenovo - IdeaPad 3 17"" Laptop - AMD Ryzen 7 3700U - AMD Radeon Vega 10 - Platinum Grey12GB DDR4 RAM, 128GB PCIE SSD, 1TB HDD, Bundle with Woov Accessories - Windows 10 Home",669.0,4.8,13,LAPTOP
161,B07RQ846B9,"Jumper 11.6 inch Touchscreen Laptop 6GB RAM, 128GB eMMC 360 Degree Convertible Tablet PC Windows 10 Ultrabook PC Intel Celeron Quad core Processor Supports 256GB TF Card and 1TB SSD Extension",299.0,4.0,400,LAPTOP
162,B08L4MR3VX,"HP Stream 14"" Nontouch Laptop, Intel Celeron N4020, 4GB DDR4, 64GB eMMC Storage, Windows 10 S with Office 365 Personal for One Year Online Class Ready, Bundled TSBEAU 16 GB Micro SD Card&LED Light",339.0,4.5,36,LAPTOP
163,B087LTKVDH,"Lenovo 2-in-1 Convertible Laptop, 14inch FHD (1920X 1080) Touchscreen, Intel Pentium Gold 5405U 2.30GHz, 4GB DDR4 RAM, 128GB NVMe SSD, WiFi, HDMI, Windows 10- (Renewed)",440.0,4.5,175,LAPTOP
167,B08Q3KBQ4F,"Lenovo - Yoga 7i 2-in-1 14"" Touch Screen Laptop - Intel Evo Platform Core i5 - 12GB Memory - 512GB Solid State Drive - 82BH0006US",894.25,4.0,1,LAPTOP
168,B08D73ZBFC,"HP 15.6inch Premium Flagship Laptop, AMD Dual-Core A9-9125 Processor Up to 2.6GHz, 4GB Ram, 500GB HDD, AMD Radeon R5 Graphics, WiFi, Bluetooth, HDMI, Win10 Home-Sliver (Renewed)",359.0,4.0,224,LAPTOP
169,B07YXWWMRL,"2019 Dell Inspiron 3593 Laptop 15.6"", 10th Generation Intel Core i5-1035G1 Processor, 8GB DDR4 RAM 256GB Solid State Drive, HDMI, WiFi, Bluetooth, Windows 10, Black",618.0,5.0,4,LAPTOP
170,B08DJXYMJL,"Lenovo IdeaPad 5 Laptop: 10th Gen Core i5-1035G1, 16GB RAM, 512GB SSD, 15.6"" Full HD IPS Touchscreen",749.0,4.6,136,LAPTOP
171,B08DX82SD8,"Dell Gaming G3 15 3500 - 15 Inch FHD 120Hz Refresh Rate, Intel Core i5-10300H 10th Gen, 8GB DDR4 RAM, 512GB SSD, Nvidia Geforce GTX 1650 Ti 4GB GDDR6, Windows 10 Home Eclipse Black",813.4,4.6,136,LAPTOP
174,B086MTSCLQ,"2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 32GB DDR4 RAM, 1TB SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable",996.94,4.8,64,LAPTOP
175,B088BLZ1WK,"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 8GB RAM, 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",514.0,4.1,648,LAPTOP
177,B07XYDZ7QC,"2019 HP Stream Laptop 14inch, Intel Celeron N4000, Intel UHD Graphics 600, 4GB SDRAM, 32GB SSD, HDMI, Win10, 14-cb164wm Brilliant Black (Renewed)",281.0,4.1,1717,LAPTOP
179,B08HJT1BKQ,"HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0010nr, 2020 Model, Ash Gray)",209.0,4.4,4,LAPTOP
184,B08K3NGK2Z,"2020 Acer Aspire 3 15.6"" Full HD 1080P Laptop PC, Intel Core i5-1035G1 Quad-Core Processor, 8GB DDR4 RAM, 256GB SSD, Ethernet, HDMI, Wi-Fi, Webcam, Numeric Keypad, Windows 10 Home, Steel Gray",530.0,4.3,16,LAPTOP
185,B08H1T1SYP,"Asus TUF 15.6-inch FHD Gaming Laptop, AMD Quad Core Ryzen 5 3550H Processor, Nvidia Geforce GTX 1650 4GB Graphics, 8GB DDR4 RAM, 256GB Solid State Drive, RGB Backlit Keyboard, Windows 10 Home, Black",715.0,4.9,15,LAPTOP
187,B086383HC7,"Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 Onboard RAM, 64GB SSD, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey",378.84,4.5,1311,LAPTOP
188,B087ZNP8FL,"VivoBook 17 17.3"" Laptop - AMD Ryzen 7 - 12GB Memory - AMD Radeon RX Vega 10 - 512GB SSD - Transparent Silver Model:X712DA-BR7N6SKU:6403423",775.0,4.1,58,LAPTOP
189,B07KNLVRJ2,"HP 2019 14"" Laptop - Intel Core i3 - 8GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame (14-CF0014DX)",489.0,4.4,1435,LAPTOP
192,B08HWRZ8TQ,"Laptop 2in1 Computers, Windows 10 Home, Intel Celeron Quad Core, Detachable Keyboard, 10"" FHD IPS Touchscreen, 1920x1200 Pixels, 64GB Storage, Micro HDMI WiFi Bluetooth, WinBook V103",199.0,3.6,21,LAPTOP
193,B08C7P19CG,"HP 14"" Core i3 1005G1 Up to 3.4GHz 8GB 256GB SSD 1080P 14-dq1043cl Backlit Keyboard",469.0,4.6,76,LAPTOP
194,B08M6HTSVX,"2020_Lenovo_IdeaPad 3 15.6"" FHD Laptop, Intel 10th Gen Core i3-1005G1, 8GB Memory, 256GB PCIe SSD, Webcam, 802.11ac WiFi, HDMI, Bluetooth, Win10, w/Santax Accessory",489.0,4.6,6,LAPTOP
195,B07GM2J11Q,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",326.99,4.5,6025,LAPTOP
196,B08KTVSD4V,"Evoo 14.1” Ultra Slim Notebook - Elite Series, FHD Display, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8GB RAM, 256GB SSD, HD Webcam, Windows 10 Home, Black (EVC141-12BK)",589.99,4.3,48,LAPTOP
200,B0816HBV9B,"Jumper Laptop 13.3 inch with Microsoft Office 365 FHD Traditional Laptop Computers 4GB 64GB Windows 10 , USB 3.0, Dual Band WiFi, Support 128GB Micro SD and 1TB SSD Expansion",259.0,4.1,254,LAPTOP
202,B08LYWFFJB,"Daysky R9 PRO Laptop, 15.6"" Full HD IPS Display, Intel Celeron J4115 Processor, 8GB DDR4 RAM 128GB SSD, Number Keyboard Easy Typing, RJ45 Network Port, Windows 10, Red",399.99,5.0,1,LAPTOP
