name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"MOSISO Compatible with MacBook Pro 16 inch Case 2020 2019 Release A2141 with Touch Bar Touch ID, Ultra Slim Protective Plastic Hard Shell Case & Keyboard Cover Skin, Mint Green",B081PRPCF5,MOSISO,2724,Laptop,14.65 x 10.47 x 1.02 ,2.3040000000000003,2019-11-18,,,,,,,,,,16 Inches,,,,Mint Green,,,,,
"RedThunder One-Handed RGB Gaming Keyboard and Mouse Combo, 35 Keys Mini Gaming Keypad, 6400 DPI Programmable Mouse, Portable Game Controller for PC PS4 Xbox Gamer",B085PP5T62,,4394,Video,12.56 x 7.6 x 1.93 ,1.1,2020-03-10,,,,,,,,,,,,,,,,,,,
"YYubao Super Stretchy Silicone Keyboard Cover Skin Protector for MacBook Pro 13"" 15"" 17"" (with or Without Retina Display) MacBook Air 13"" and iMac (Fits US Keyboard Layout only) - Yellow",B01LXJJTW6,,1840,Computer,12.48 x 5.39 x 0.24 ,0.0512,2016-09-17,No,6860633,,,,,,,,,,,,,,,,,
"Backlit Mini Wireless Keyboard with Touchpad Mouse Combo and QWERTY Keypad - Rechargeable Handheld Keyboard Remote Control for Smart TV, Android TV Box, HTPC PS3, PC",B08LGL7RFC,,491,Computer,7.24 x 4.09 x 0.94 ,0.848,2020-10-20,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"Logitech K780 Multi-Device Wireless Keyboard for Computer, Phone and Tablet (Renewed)",B079F68RPZ,Logitech,303,Computer,14.9 x 6.2 x 0.9,0.0016,,No,920-008149X,1 Lithium ion batteries required.,,,,,,,,,,,Non-Speckled,,,,,
"DREVO Seer PRO Mini 61-Key Wired/Wireless Bluetooth 5.1 Mechanical Keyboard, RGB Illumination, Compatible with Windows/Mac OS/Android/iOS Devices, US Layout (Gateron Brown Switch, Black)",B08BY9ZBCJ,,2858,Computer,12.99 x 6.02 x 1.81 ,1.72,2020-06-28,,,,,,,,,,,,,,,,,,,
Padarsey New Laptop Black US Keyboard fits for MacBook Air A1370 A1465 11-Inch 2011 2012 2013 2014 2015 MD711 MD712 MD223 MD224 MC968 MC969,B01LYGY3IK,,2222,Laptop,13.7 x 5.39 x 1.18 ,0.768,2016-09-13,No,SF159-01,,,,,,,,,,,,,,,,,
Ajazz AK50 Mechanical Gaming Keyboard - PBT Keycaps - Grey-White Matching - White Backlit - Black Switches - Black,B087V1H6XH,,11972,Video,17.09 x 4.84 x 1.42,2.94,2020-04-29,,,,,,,,,,,,,,,,,,,
"Allinside Ombre Pink Keyboard Silicone Cover for MacBook Pro 13"" and MacBook Pro 15"" with Multi-Touch Bar A2159 A1706 A1707 A1989 A1990, 2019 2018 2017 2016 Release, US Keyboard Layout",B01MQVII08,,987,Computer,5.91 x 0.01 x 7.87,0.15328,2016-12-13,No,8541659567,,,,,,,,,,,,,,,,,
"Bluetooth Keyboard Portable Rechargeable Wireless Keyboard for iPad Pro/iPad Air/iPad 9.7/iPad 10.2/iPad Mini, iPhone, iOS Android Tablet Phone (Big Size Pink)",B08HXMFTT4,,1124,Computer,9.7 x 5.9 x 0.24,1.008,2020-09-13,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
Backlit 2.4G Mini Wireless Keyboard with Touchpad＆QWERTY Portable USB Receiver Remote Control for Laptop/PC/Tablets/Windows/Mac/TV/Xbox/PS3/Android TV Box with Rechargeable Battery,B08P7L9WGQ,,618,Computer,5.6 x 4.7 x 1.1,0.736,2020-11-27,,,,,,,,,,,,,,,,,,,
"WENWELL Keyboard Cover & Trackpad Protector Compatible Newest MacBook Air 13 inch 2020 Model A2179 A2337 M1 Chip,4pcs Protective Skin Accessories for New Apple Laptop with Touch ID",B08GJ4B7SW,,848,Computer,12.99 x 5.31 x 0.12,0.3824,2020-08-22,,macbook air 13,,,,,,,,,,,,,,,,,
"iWALK Keyboard Case for iPad Pro 12.9(3rd and 4th Gen-2018/2020) Magnetic Attachable Folio Keyboard Case with Pencil Holder,Backlit,Affordable Alternative for Apple Smart Keyboard and Magic Keyboard",B08DKLGZP4,,496,Tablet,12.13 x 8.94 x 1.06 ,2.18,2020-07-24,,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"OYOSUOGG iPad Mini Keyboard Case 7.9 inch for iPad Mini 5 2019 /iPad Mini 4/3 / 2/1, Auto Sleep/Wake Function Stand Leather Folio Protective Cover with Wireless Bluetooth Keyboard-Rose Gold",B07SH5DMWX,,943,Tablet,9.57 x 6.3 x 1.18 ,1.15,2019-05-29,,,,,,,,,,,,,,,,,,,
"Silicone Keyboard Cover Skin Compatible for 11.6 inch Samsung Chromebook 3 XE500C13 XE501C13, 11.6"" Samsung Chromebook 2 XE500C12, 12.2 inch Samsung Chromebook Plus V2 2-in-1 XE520QAB Ombre Mint Green",B07L8W1XF4,,528,Computer,12.4 x 5.45 x 0.2 ,0.10144,2018-12-10,No,8541660500,,,,,,,,,,,,,,,,,
"Keyboard Case for iPad Pro 12.9 2020/2018- Wireless Detachable - with Pencil Holder - Auto Sleep/Wake up Keyboard Case for iPad pro 12.9 4th Gen/3rd Gen (iPad 12.9"", Black)",B089GGDQNM,,780,Tablet,12.9 x 9.45 x 0.9,2.48,2020-06-01,,,,,,,,,,,,,,,,,,,
ZJFKSDYX One Hand RGB Gaming Keyboard and Backlit Mouse Combo,B08B647S5R,,17348,Video,11.22 x 9.88 x 1.85 ,1.5,2020-06-27,,,,,,,,,,,,,,,,,,,
Fashion888 Wired USB Lighting Mechanical Computer Keyboard Mouse for PS4/PS3/Xbox One,B08CV1N4D2,,11438,Video,20.91 x 5.87 x 1.73 ,1.46,2020-11-30,,SJ0020-1,,,,,,,,,,,,,,,,,
"CaseBuy Keyboard Cover Compatible 2019 2018 Samsung Chromebook Pro 12.2"" / Samsung Chromebook Plus XE520QAB XE521QAB XE525QBB 12.2 inch Anti Dust Waterproof Protective Skin, Gradual Mint Green",B07L9CFSNN,,1821,Computer,10.91 x 4.17 x 0.01,0.12960000000000002,2018-12-11,No,Samsung Chromebook Pro Plus 12.2 Inch,,,,,,,,,,,,,,,,,
"Bluetooth Backlit Keyboard Case with 2.4 G + Bluetooth Mouse for iPad Pro 11"" 2018/2020 (1st / 2nd Gen), Jelly Comb Keyboard Case with Dual Mode Mice, Rose Gold",B088WW2589,,804,Tablet,11.28 x 8.21 x 1.15 ,1.75,2020-05-20,,,,,,,,,,,,,,,,,,,
"Raxxio H9 Wireless Mini Keyboard with Touchpad Mouse, Colorful Backlit RGB, Rechargeable Handheld Remote for PC, Pad, Xbox, Android TV Boxes, KODI, iptv, and More…",B08234H4YH,,984,Computer,7.44 x 4.37 x 1.1 ,0.672,2019-12-12,,H9,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"lzndeal KeyPad,Bluetooth Keyboard Leather,Mini Portable Wireless Bluetooth Keyboard with Leather Case for Smartphone",B07WNMW8R9,,1474,Tablet,9.25 x 6.1 x 1.25 ,1.7919999999999998,2019-08-20,,,,,,,,,,,,,,,,,,,
"Colorful Keyboard Cover Compatible 15.6"" Lenovo Thinkpad E531 E540 E550 E555 E560 E565 E570 E575 W540 W541 W550 W550s L560 L570 T550 T560 P50 P50s / Thinkpad P70 P71 17.3"", Rainbow",B07MYRQMPK,,3288,Computer,14.25 x 4.21 x 0.16,0.2528,2019-01-20,,P50/P50s/P51/P70/P71,,,,,,,,,,,,,,,,,
"Wireless Numeric Keypad, TRELC Mini 2.4G 18 Keys Number Pad, Portable Silent Financial Accounting Numeric Keypad Keyboard Extensions with Wireless Mouse for Laptop, PC, Desktop, Notebook(Black)",B07PJMSBLX,,4,Numeric,5.94 x 3.94 x 1.54 ,0.848,2019-03-11,,,,,,,,,,,,,,,,,,,
"60% Mechanical Keyboard Wired (Optical Switches), HUICCN 61 Keys Gaming Keyboards with Full Keys Anti-Ghosting & RGB LED Backlight for Windows PC/Laptop (Black)",B08N5ZF15X,,831,Computer,13.03 x 6.1 x 1.89 ,1.64,2020-11-11,,,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,
AUTENS Replacement US Keyboard for Dell Latitude E5550 E5570 5550 5580 5590 5591 / Precision 3510 3520 7510 7520 7710 7720 Laptop with Pointer No Frame (No Backlight),B07YW53RX1,,1220,Laptop,15.43 x 6.22 x 0.87 ,1.12,2019-10-08,,,,,,,,,,,,,,,,,,,
"Galaxy Tab A 8.0 2018 Keyboard Case,Bige Slim Stand PU Leather Cover with Romovable Wireless Keyboard for Samsung Galaxy Tab A 8.0 2018 Model SM-T387 Verizon/Sprint(Not fit Tab 8.0 T380 2017),Black",B07HFRJKNY,,1613,Tablet,8.62 x 6.22 x 1.26 ,0.512,2018-11-04,,10001843-1,,,,,,,,,,,,,,,,,
Baval Hard Case Portable Bag Replacement for Apple Magic Wireless Keyboard (MLA22LL/A) / Apple Magic Mouse 2 (MLA02LL/A),B0762KZLFS,,6892,Computer,14.75 x 6 x 1.15 ,1.92,2017-06-27,No,064,,,,,,,,,,,,,,,,,
AUTENS Replacement Keyboard for HP ProBook 450 G3 / 450 G4 / 455 G3 / 455 G4 / 470 G3 / 470 G4 Laptop No Pointer (Backlight),B07YW8DTZL,,2685,Computer,15.35 x 6.34 x 0.87 ,1.1840000000000002,2019-10-08,,,,,,,,,,,,,,,,,,,
Logitech MK330R 2.4Ghz Wireless Desktop Mouse and Keyboard Combo English/Korean Type,B00RORZI5Y,,541,Computer,18.2 x 7.4 x 2.3,,2015-01-02,No,MK330,3 AAA batteries required.,,,,,,,,,,,,,,,,
"MageGee Pink TS91 Mini 60% Gaming/Office Keyboard,Waterproof Keycap Type Wired RGB Backlit Compact Computer Keyboard for Windows/Mac/Laptop",B08NJ6W9K8,,11769,Video,12.24 x 5.08 x 1.73 ,1.09,2020-11-16,,,,,,,,,,,,,,,,,,,
"Logitech G613 LIGHTSPEED Wireless Mechanical Gaming Keyboard, Multihost 2.4 GHz + Blutooth Connectivity (Renewed)",B07DJYXTVR,Logitech,4904,Video,18.82 x 8.5 x 1.33,4.19,,No,920-008386-cr,1 AA batteries required. (included),,,,,,,,,,,Black,,,,,
FUTURE DIEM Premium Acrylic Cat Keyboard Cover – Computer Keyboard Protector – 25.6 x 9.2 x 5 Inch Keyboard Caps for Desk – Laptop Keyboard Protector – Laptop Stand (Transparent),B086Z2MFCG,,1197,Computer,25.6 x 8.86 x 5.04,6.14,2020-04-20,,,,,,,,,,,,,,,,,,,
Dingrich New iPad Pro 12.9 Keyboard Case 2020/2018-7 Color Backlit Detachable Keyboard Smart Folio Stand Cover Case for iPad Pro 12.9 4th/3rd Generation (Support Apple Pencil Charging) -Rose Gold,B08F548V8X,,1381,Tablet,12.2 x 9.65 x 1.3 ,2.22,2020-08-03,,,,,,,,,,,,,,,,,,,
INI Totetype Super Slim Portable Wireless Bluetooth 7-Colors Backlit Keyboard with Built in Rechargeable for iPad Android Windows All Tablet - White,B08JV18LTT,,107,Tablet,9.7 x 6 x 0.2,1.104,2020-09-23,,,2 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"CaseBuy Keyboard Cover for Acer Chromebook 11.6 CP311 C738T CB3-131 CB3-132 CB5-132T/Chromebook Spin 13 CP713 R13 CB5/Chromebook 15 CB3 CB5 CP315 CB515/Chromebook 14 CB3-431(Upper CASE, Black Galaxy)",B087DZ9STV,,1752,Computer,13.89 x 6.38 x 0.28 ,0.10144,2020-04-21,,,,,,,,,,,,,,,,,,,
"Keyboard Cover for Microsoft Surface Book 2 13.5&15 inch /Surface Laptop 2017/Laptop2 2018, Silicone Skin Protector with Pattern, US Layout, Cute Cat",B089376WQV,,17707,Computers,12.91 x 5.28 x 0.04 ,0.2256,2020-05-23,,,,,,,,,,,,,,,,,,,
"Keyboard Cover Compatible 2019 HP ProBook 445 G6 14"" / ProBook 440 G5 14"" / ProBook 440 G6 14"" / ProBook x360 440 G1 14"" / ProBook 640 G4 14"" Notebook, Ombre Purple",B07RJLHVRL,,3175,Computer,12.1 x 6.9 x 0.3 ,0.12960000000000002,2019-05-16,,"14"" ProBook 440 G5 G6/ 445 G6/640 G4",,,,,,,,,,,,,,,,,
Hebrew Keyboard Stickers Transparent Background Black Letters for PC Computer Laptop Keyboards,B002QLIIXC,,168,Computer,6.26 x 3.86 x 0.12 ,0.2816,2009-09-26,No,4328486224,,,,,,,,,,,,,,,,,
"kenke Keyboard Case for New iPad 8th Gen (2020) / 7th Generation (2019) 10.2 Inch with Pencil Holder Soft TPU Back Cover, Detachable Wireless Bluetooth Keyboard for 10.2 iPad 7/8 - (White ice)",B08GPJZSR1,,2011,Tablet,10.24 x 7.87 x 0.59,1.32,2020-08-26,,iPad 10.2 inch (7th/8th generation),,,,,,,,,,,,,,,,,
"Glorious GMMK Modular Mechanical Gaming Keyboard - 60% Compact Size (61 Key) - RGB LED Backlit, Brown Switches, Hot Swap Switches (Black)(GMMK-Compact-BRN)",B07JBJF3NX,,9045,Video,11.54 x 4.05 x 1.73,1.69,2017-06-15,No,GMMK-COMPACT-BRN,,,,,,,,,,,,,,,,,
"Bluetooth Keyboard Smart Case for iPad Pro 10.5 inch 2017 /iPad Air 10.5(3rd Gen) 2019,Wireless Detachable iPad Keyboard Case with Pencil Holder,Auto Sleep/Wake(Yellow)",B07XNY4LDH,,1207,Tablet,11.93 x 8.86 x 2.01 ,1.75,2019-09-09,,KEYBOARD105,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"iPad 10.2 inch Keyboard Case, D DINGRICH iPad Case with Keyboard for iPad 8th 2020/7th Generation 2019, Wireless Detachable Keyboard Smart Folio Cover for iPad 10.2/iPad Air 3 /iPad Pro 10.5, Black",B07YWVF9JW,D DINGRICH,2689,Tablet,11.4 x 8.1 x 1.4 ,1.75,,,,1 Lithium ion batteries required. (included),,,,,,,,,,,10.2 inch/ Air 3rd/ Pro 10.5-Black,,,,,
"Adobe Photoshop Shortcuts Keyboard Skin Hot Keys PS Keyboard Cover for MacBook Air 13 & MacBook Pro 13 15 17, Retina (US/European ISO Keyboard)",B00R2NBAI4,XSKN,2256,Computer,13 x 5.8 x 0.4,0.64,,No,MB13F06PST,,,,,,,,,,,,,,,,,
"iPad 7th Gen 8th Generation 2020 Keyboard Case 10.2 inch, Smart Wireless Keyboard, Detachable, Built-in Apple Pencil Stylus Holder, Bluetooth, Full Protection, Auto Sleep Wake Cover Tablet Case, Black",B08DFBQM94,,1249,Tablet,10.2 x 7.5 x 0.47,1.3,2020-07-22,,,1 Product Specific batteries required. (included),,,,,,,,,,,,,,,,
"Genuine Wyse Standard 104-Key USB Black Keyboard with PS/2 Port Wyse M/N: KU-8933, 901716-06 / 901716-06L Rev. C or D",B008EL1CZ4,,45260,Electronics,12 x 2 x 20,1.0,2010-08-26,No,901716-06L,,,,,,,,,,,,,,,,,
"PONYBRO Backlit Mini Bluetooth Wireless Keyboard with Touchpad QWERTY keypad,Support Bluetooth＆2.4G USB Connection,Rechargeable Handheld Keyboard Remote for Smartphones,Smart TV,Android TV Box,PC,Pad.",B08GK2MZQQ,,512,Computer,6.1 x 3.54 x 0.8,1.392,2020-08-24,,T18 PRO,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
Upgrade 2.4G 12 Inch Wireless Keyboard and Mouse Mini Multimedia Keyboard Mouse Combo Set for Notebook Laptop Mac Desktop PC TV Office Supplies (Silver),B08NDK4964,,564,Computer,14.37 x 5.71 x 1.06 ,2.32,2020-05-31,,,,,,,,,,,,,,,,,,,
"Keyboard Cover Fit Dell Latitude 7290 7280 7380 7390 5290, Dell Latitude E5250 E5270 E7250 E7270 E7370 E7389 Soft-Touch Protective Skin- Mint Green",B07R8Q51BS,,3186,Computer,14.02 x 5 x 0.39 ,0.10144,2019-04-28,,,,,,,,,,,,,,,,,,,
"for Logitech MK275 MK270 Wireless Keyboard Cover Skin, PC Desktop Keyboard Protector for Logitech K200 MK200 K260 MK260 K270, Logitech Keyboard Accessories, Ultra Thin Silicone Keyboard Cover(Mint)",B08GX3CQB9,,3618,Computer,13.7 x 6.46 x 0.55 ,0.2304,2020-08-28,,,,,,,,,,,,,,,,,,,
"Apple Smart Keyboard Folio (for iPad Pro 11-inch, US English) (Renewed)",B07RC814V3,,87,Tablet,10 x 1 x 8,1.25,2019-04-16,,Apple Keyboard 10.5,,,,,,,,,,,,,,,,,
"MUBUY Keyboard Cover Design for Microsoft Surface Laptop Go - 12.4"" Touchscreen US Keyboard Cover-Black",B08PFSW799,,2044,Computer,7.8 x 5.5 x 0.1 ,0.05072,2020-12-02,,,,,,,,,,,,,,,,,,,
"Keyboard Wrist Rest Pad,Soft PU Leather Wrist Support with Interior Soft Cushion Foam for Office/Computer/Laptops/MacBooks,Easy Typing & Pain Relief,16.5"" White",B08GNZZN4W,Tofun,22732,Office,16.5 x 3.23 x 0.98 ,1.2,2018-05-15,No,,,,,,,,,,,,,"16.5"" White",,,,,
Huafly 2018/2020 iPad Pro 12.9 inch Touchpad Keyboard Case Protection Wireless Bluetooth 5.0 Tablet Backlit Keyboard with Built in Rechargeable Battery (Rose Gold),B08GX5SFZC,,1369,Tablet,12.6 x 10.04 x 1.18 ,2.51,2020-08-28,,,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"RK ROYAL KLUDGE RK68(RK855) 65% Wireless Gaming Keyboard, 60% 68 Keys Compact BT Mechanical Keyboard with Brown Switch and Stand-Alone Arrow/Control Keys, Multi-Device Switchable Connect",B08G4ZRMM8,,11637,Video,13.9 x 6.06 x 1.73 ,1.74,2020-08-18,,RK68-Brown Switch,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"2 Pack Keyboard Cover Skin for Lenovo IdeadPad S145 S340 15.6 Inch/IdeaPad 320 330 L340 15.6 17.3"", 2020 2019 Lenovo IdeaPad 15.6"", Lenovo Yoga C740 15.6""(Ombre Purple+Clear)",B089K3J1PV,,2266,Computer,14.5 x 5.3 x 0.1,0.10144,2020-06-02,,,,,,,,,,,,,,,,,,,
"Touchpad iPad 8th Gen Case with Keyboard - iPad Keyboard 7 Gen, iPad Air 3, iPad Pro 10.5-2.4 inch Built-in Touchpad - Apple Pencil Holder - 12 Colors Backlit - Stand by 150 Days Battery - Rose Gold",B08D642HK8,,800,Tablet,11.18 x 8.19 x 1.26 ,2.1,2020-07-17,,,,,,,,,,,,,,,,,,,
"CHONCHOW Wireless Keyboard and Mouse Combo,2.4GHz Utra-Slim Wireless Mouse Keyboard with Nano Receiver for Mac PC Computer",B08N4CJC1D,,1299,Computer,17.2 x 5.1 x 1,1.57,2020-11-10,,,,,,,,,,,,,,,,,,,
ACTTO Mini Bluetooth Keyboard Korean/English Layout,B087ZQFQV3,,991,Computer,14.29 x 6.73 x 1.89 ,1.45,2020-05-02,,,,,,,,,,,,,,,,,,,
"Wireless Keyboard and Mouse, ElecRat Rechargeable Compact Full Size Wireless Keyboard and Optical Mouse Combo with 2.4GHz USB Receiver for Windows, Laptop, Notebook, PC, Desktop, Computer",B07RWG4LGP,,423,Computer,14.2 x 5.9 x 0.78,1.54,2019-05-02,,,2 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
AUTENS US Replacement Keyboard for Lenovo ThinkPad T440 T440p T440s T431s T450 T450s L440 L450 L460 L470 T460 (Not Fit T460s T460p) Laptop (No Backlight),B07BTVMG3V,,1256,Laptop,12.72 x 6.38 x 0.79 ,1.104,2018-03-31,No,,,,,,,,,,,,,,,,,,
"BOYI 60% Mechanical Gaming Keyboard,BOYI 61 Mini RGB Cherry MX Switch PBT Keycap 60% RGB Mechanical Gaming Keyboard (Joker Color, Cherry MX Blue Switch)",B085XB2WR8,,2465,Video,13.3 x 6.1 x 2 ,1.7,2019-11-15,,,,,,,,,,,,,,,,,,,
"REAL-EAGLE Galaxy Tab S6 Lite 10.4 Keyboard Case (SM-P610/ P615, 2020 Version),Folio PU Leather Case Cover with Detachable Wireless Keyboard for Samsung Galaxy Tab S6 Lite 10.4 inch 2020 - Red",B08C2GDFZT,,1871,Tablet,11.93 x 7.68 x 1.42 ,1.14,2020-06-30,,Galaxy Tab S6 Lite 2020,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,
"ProCase Galaxy Tab S5e 2019 Keyboard Case T720 T725 T727, Slim Shell Lightweight Cover with Magnetically Detachable Wireless Keyboard for Galaxy Tab S5e 10.5 Inch SM-T720 (Wi-Fi) SM-T725 (LTE) -Black",B07RBDBN9V,ProCase,518,Tablet,9.65 x 6.3 x 0.31,0.64,,,PC-08361654,,,,,,,,,,,,Black,,,,,
"2 PCS Japanese Keyboard Stickers with Non-Transparent Black Background & White Letters for PC/Computer/Laptop [Size of Each Key Sticker: 0.43"" x 0.51""] (Japanese)",B07BBQKP8H,,1582,Computer,7 x 2.8 x 0.05 ,0.12960000000000002,2018-03-08,No,,,,,,,,,,,,,,,,,,
