,ASIN,Title,Brand,Best-Sellers_Rank,Best_Sellers_Rank_fields,Product_Dimensions_Inches,Item_Weight_Pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_Model_Number,Average_Battery_Life_In_Hours),Batteries,Card_Description,Chipset_Brand,Voltage,Series,National_Stock_Number,Wireless_Type,Max_Screen_Resolution_Pixels,Standing_Screen_Display_Size_Inches,Operating_System,Color,Graphics_Coprocessor,Number_of_USB_2.0_Ports,Number_of_USB_3.0_Ports,Computer_Memory_Type,Processor_Brand,Processor_Count,Memory_Speed_In_GHz,Hard_Drive_Interface,Hardware_Platform,Flash_Memory_Size_In_GB
10,B08FCTXKFB,"Newest HP 15.6inch Lightweight Laptop, Intel Quad-Core i5-1035G1 Processor Up to 3.60 GHz, 8GB DDR4 RAM, 256GB SSD + 16GB Optane, HDMI, Bluetooth, Win 10-Silver (Renewed)",HP,17066, Computers & Accessories ,14.11 x 9.53 x 0.71 ,3.75,2020-08-06,,HP 15.6inch Laptop,,1 Lithium ion batteries required. (included),Integrated,Intel,,HP 15.6inch Laptop,,Bluetooth,1366 x 768 ,15.6 ,Windows 10,Silver,Intel,,,DDR4 SDRAM,Intel,4,3.6,Solid State,PC,256 GB
11,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
12,B087RTV311,"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",Acer,240, Computers & Accessories ,14.31 x 9.86 x 0.71 ,3.97,2020-06-01,,A515-55-56VK,8 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,A515-55-56VK,,802.11ax,1920 x 1080,15.6 ,Windows 10 Home,,Integrated,1,2,DDR4 SDRAM,Intel,4,3.6,Gigabit Ethernet,,256
13,B0899GH6H9,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Rose Gold)",XIDU,1346, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-08-03,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 801.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Rose Gold,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,128 GB
14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
15,B08GZKZ95X,"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 128GB SSD - Ice Blue",Microsoft,2301, Computers & Accessories ,9.27 x 12.19 x 1.93 ,2.45,2020-10-01,,THH-00024,,1 Lithium ion batteries required. (included),Integrated,Intel,,Surface Laptop Go,,,1536 x 1024 ,12.45 ,Windows 10 S,Ice Blue,Intel UHD Graphics,,2,,Intel,4,,Solid State,PC,128
16,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
17,B08N4VG1W2,"iProda 14"" Stream Laptop, Intel i3 Notebook (up to 2.4GHz), 8GB Memory, 256GB SSD, Full HD IPS 19201080 Display, Windows 10 Pro, Perfect PC for Student and Home use (Intel i3)",IProda,12442, Computers & Accessories ,13.07 x 8.78 x 0.59 ,4.4,2020-11-10,,T1406P3,10 Hours,1 Lithium Polymer batteries required. (included),,Intel,110 volts_of_direct_current,N1406P3,,Bluetooth,1920x1080 ,14.1 ,Windows 10 Pro,Silver,550,,,DDR3L-1600 SDRAM,Intel,1,2.5,ATA133,PC,
18,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,8972, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
19,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,5224, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
20,B08KRJNN83,"OEM Lenovo ThinkPad T490 Laptop 14” WQHD IPS Display 2560x1440, Intel Quad Core i7-8665U, 48GB RAM, 512GB NVMe, Fingerprint, W10P",Oemgenuine,44811, Computers & Accessories ,12.95 x 8.94 x 0.7 ,3.23,2020-03-31,,T490,,,,Intel,,ThinkPad T490,,Bluetooth,2560x1440 ,14 ,Windows 10 Pro,Black,Intel UHD,,,SODIMM,Intel,4,2.4,Unknown,PC,512 GB
21,B07XL4JHXR,"SAMSUNG XE310XBA-K02US Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 64GB eMMC Gigabit Wi-Fi",Samsung Electronics,387, Computers & Accessories ,11.33 x 7.96 x 0.66 ,2.42,2019-10-07,,XE310XBA-K02US,12.5 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,Chromebook 4,,801.11ac,,11.6 ,Chrome OS,Silver,,,2,DDR4 SDRAM,Intel,1,,,,
22,B08F41S84R,"2020 Newest Lenovo IdeaPad 3 15"" HD Touch Screen Laptop, Intel 10th Gen Dual-Core i3-1005G1 CPU, 8GB DDR4 RAM, 256GB PCI-e SSD, Webcam, WiFi 5, Bluetooth, Windows 10 S - Almond",Lenovo,1235, Computers & Accessories ,14.26 x 9.98 x 0.78 ,4.0,2020-08-02,,81WE00KVUS,,1 Lithium ion batteries required. (included),Dedicated,Intel,,Lenovo Ideapad,,Bluetooth,1366 x 768 ,15.6 ,Windows 10 S,Almond,Intel UHD Graphics,2,,DDR4 SDRAM,Intel,2,,Solid State,PC,256
23,B08QHH5BZR,"HP 14-fq0032ms Laptop for Business and Student, 14"" LED Touchscreen, AMD Ryzen 3 3250U Processor(up to 3.5 GHz), 8GB RAM, 128GB SSD, Webcam, WiFi, Ethernet, HDMI, USB-A&C, Win10",HP,1734, Computers & Accessories ,18 x 12 x 3 ,3.24,2020-12-14,,HP 14-fq0032ms,10 Hours,1 Lithium ion batteries required.,,,,,,"Bluetooth, 802.11b",1366 x 768 ,14 ,Windows 10 Home,Natural silver,AMD Radeon Graphics,,,DDR4 SDRAM,AMD,2,2.4,Solid State,PC,128 GB
24,B081V6W99V,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode with One Year of Microsoft 365 Personal, L210MA-DB01",ASUS,26, Computers & Accessories ,11 x 7.5 x 0.67 ,2.31,2020-10-05,,L210MA-DB01,12 Hours,1 Lithium Metal batteries required. (included),Integrated,Intel,19 volts,ASUS Laptop L210MA,,"Bluetooth, 802.11ac",1366 x 768 ,11.6 ,Windows 10 S,Blue,Intel UHD Graphics 600,1,2,DDR4 SDRAM,Intel,2,2.8,,PC,64
25,B07RF1XD36,"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L, Silver",Acer,9, Computers & Accessories ,14.31 x 9.74 x 0.71 ,3.97,2019-05-24,,A515-43-R19L,7.5 Hours,1 Lithium Polymer batteries required. (included),Integrated,AMD,,A515-43-R19L,,802.11ac,1920 x 1080,15.6 ,Windows 10 S,Silver,AMD Radeon Vega 3,2,1,DDR4 SDRAM,AMD,2,3.5,Solid State,,128
26,B0899GH6H9,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Rose Gold)",XIDU,1346, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-08-03,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 801.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Rose Gold,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,128 GB
27,B08N4VG1W2,"iProda 14"" Stream Laptop, Intel i3 Notebook (up to 2.4GHz), 8GB Memory, 256GB SSD, Full HD IPS 19201080 Display, Windows 10 Pro, Perfect PC for Student and Home use (Intel i3)",IProda,12442, Computers & Accessories ,13.07 x 8.78 x 0.59 ,4.4,2020-11-10,,T1406P3,10 Hours,1 Lithium Polymer batteries required. (included),,Intel,110 volts_of_direct_current,N1406P3,,Bluetooth,1920x1080 ,14.1 ,Windows 10 Pro,Silver,550,,,DDR3L-1600 SDRAM,Intel,1,2.5,ATA133,PC,
28,B0862269YP,"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",Lenovo,163, Computers & Accessories ,12.88 x 9.49 x 0.78 ,3.3,2020-03-17,,81W0003QUS,,1 Lithium Polymer batteries required. (included),Integrated,AMD,,"IdeaPad 3 14""",,802.11ac,1920 x 1080 ,14 ,Windows 10,Abyss Blue,AMD Integrated Graphics,1,2,DDR4 SDRAM,AMD,1,,,PC,
29,B086QZSLDH,"ASUS VivoBook 15 Thin and Light Laptop- 15.6” Full HD, Intel i5-1035G1 CPU, 8GB RAM, 512GB SSD, Backlit KeyBoard, Fingerprint, Windows 10- F512JA-AS54, Slate Gray",ASUS,172, Computers & Accessories ,14.1 x 9.1 x 0.8 ,3.5,2020-04-13,,F512JA-AS54,,1 Lithium ion batteries required. (included),Integrated,Intel,,VivoBook 15,,"Bluetooth, 802.11ax",1920 x 1080 ,15.6 ,Windows 10 Home,,Intel UHD Graphics,2,2,DDR4 SDRAM,Intel,4,3.6,Gigabit Ethernet,PC,512
30,B08CM6Q55C,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Touchscreen, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0050nr, 2020)",HP,834, Computers & Accessories ,0.71 x 8.86 x 12.76 ,3.24,2020-08-09,,14-fq0050nr,9 Hours,1 Lithium ion batteries required. (included),Integrated,AMD,,HP 14 Laptop,,"802.11a/b/g/n/ac, Bluetooth",1366 x 768 ,14 ,Windows 10 Home,Jet Black,AMD Radeon,,,DDR4 SDRAM,AMD,2,2.4,,PC,64
31,B086MBQKH2,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",Acer,25, Computers & Accessories ,11.65 x 8.11 x 0.79 ,2.62,2020-04-27,,CP311-2H-C679,10 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,CP311-2H-C679,NX.HKKAA.005,Bluetooth,1366 x 768 ,11.6 ,Chrome OS,,,,2,,Intel,2,2.8,Gigabit Ethernet,Chrome,32
32,B08KH2Q1FG,"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",ASUS,424, Computers & Accessories ,14.2 x 10.3 x 1.02 ,4.85,2020-11-04,,FX505GT-AB73,,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,20 volts,TUF Gaming 15,,"Bluetooth, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,Stealth Black,NVIDIA GeForce GTX 1650,1,2,DDR4 SDRAM,Intel,6,2.666,Gigabit Ethernet,PC,512
33,B086KJBKDW,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i5-9300H, NVIDIA GeForce GTX 1650, 15.6"" Full HD IPS Display, 8GB DDR4, 256GB NVMe SSD, Wi-Fi 6, Backlit Keyboard, Alexa Built-in, AN515-54-5812",Acer,164, Computers & Accessories ,14.31 x 10.04 x 0.96 ,5.07,2020-04-27,,AN515-54-5812,8 Hours,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,AN515-54-5812,,801.11ac,,15.6 ,Windows 10 Home,,NVIDIA GeForce GTX 1650,1,2,DDR4 SDRAM,Intel,4,4.1,Gigabit Ethernet,,256
34,B085XRL3P1,"CHUWI Herobook Pro 14.1 inch Windows 10 Intel N4000 Dual Core 8GB RAM 256GB ROM Notebook,Thin and Lightweight Laptop,BT4.0 (Herobook Pro (Herobook Pro(2020))",CHUWI,1853, Computers & Accessories ,13.07 x 8.43 x 0.84 ,3.06,2020-03-11,,Herobook Pro,5 	years,,Integrated,Intel,,HeroBook Pro,,Bluetooth,1920 x 1080 Lines Per Inch,14.1 ,Windows 10,Herobook Pro(2020),Intel Celeron Processor N4000,,,DDR4 SDRAM,Intel,4,,ATA-4,PC,256 GB
35,B08HZ4KWJW,"CHUWI HeroBook Plus 15.6 inch Windows 10 Laptop, 1080P Laptop Computer with Intel J4125 and 12GB RAM / 256GB SSD, Support RJ45 Gigabit Ethernet, BT5.1, Dual WiFi",CHUWI,6517, Computers & Accessories ,1.42 x 9.53 x 0.77 ,3.59,2020-09-14,,HeroBook Plus,,1 Product Specific batteries required. (included),,Intel,,HeroBook Plus,,"Bluetooth, 802.11bgn, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,,Intel UHD Graphics 600,,,DDR4 SDRAM,Intel,4,2.0,Gigabit Ethernet,PC,256 GB
36,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,8972, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
37,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,5224, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
38,B0894DBTRV,Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red,HP,426, Computers & Accessories ,14.9 x 10 x 0.9 ,4.35,2020-05-25,,15-dw0083wm,10 Hours,1 Lithium Metal batteries required.,Integrated,Intel,,15-dw0083wm,,Bluetooth,1266x768 ,15.6 ,Windows 10,Red,Intel,,,DDR4 SDRAM,Intel,4,2.7,Solid State,PC,128 GB
39,B081GMHQLR,"2020 Lenovo IdeaPad Laptop ComputerAMD A6-9220e 1.6GHz 4GB Memory 64GB eMMC Flash Memory 14"" AMD Radeon R4 AC WiFi Microsoft Office 365 Platinum Gray Windows 10 Home",Lenovo,350, Computers & Accessories ,14.02 x 10.2 x 0.82 ,4.4,2019-11-13,,Lenovo - IdeaPad,,1 Lithium Polymer batteries required. (included),Dedicated,AMD,,Lenovo - IdeaPad,,802.11ac,1366 x 768,14 ,Windows 10,,AMD Radeon R4,,2,DDR4 SDRAM,Intel,2,1.6,Solid State,PC,64
40,B086226DDB,"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",Lenovo,28, Computers & Accessories ,12.66 x 8.56 x 0.82 ,3.63,2020-03-17,,81X20005US,10 Hours,1 Lithium Polymer batteries required. (included),Integrated,AMD,,"Flex 5 14""",,802.11ac,1920 x 1080 ,14 ,Windows 10,Graphite Grey,AMD Integrated Graphics,,2,DDR4 SDRAM,AMD,1,,,,
41,B082358X13,"New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver",HP,827, Computers & Accessories ,14.11 x 9.53 x 0.71 ,4.4,2019-11-27,,7PA01UA,,1 Lithium Metal batteries required.,Integrated,Intel,,15-dy1731ms,,"802.11bgn, 802.11b, 802.11b/g",1366 x 768,15.6 ,Windows 10,Silver,Intel UHD Graphics,,2,DDR4 SDRAM,Intel,2,2.666,Solid State,PC,512
42,B081K6MCL3,"New HP Pavilion 2-in-1 15.6"" HD Touchscreen Laptop Intel i5-8265U 8GB RAM 512GB SSD Bluetooth Windows 10",HP,6210, Computers & Accessories ,14.13 x 8.44 x 0.81 ,3.5,2019-11-13,,DQ0953CL,10 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,DQ0953CL,,802.11bgn,1366 x 768,15.6 ,Windows 10,,Intel UHD Graphics 620,,,DDR4 SDRAM,Intel,4,2.4,Solid State,PC,512
43,B08BB9RWXD,"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",Lenovo,215, Computers & Accessories ,14.29 x 10.22 x 0.98 ,5.41,2020-06-16,,82B1000AUS,5 Hours,1 Lithium Polymer batteries required. (included),Dedicated,NVIDIA,,"Legion 5 15""",,802.11ax,1920 x 1080 ,15.6 ,Windows 10 Home,Phantom Black,NVIDIA GeForce GTX 1660Ti,,4,DDR4 SDRAM,AMD,1,3.2,Serial ATA-600,PC,16
44,B0899GH6H9,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Rose Gold)",XIDU,1346, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-08-03,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 801.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Rose Gold,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,128 GB
45,B08N4VG1W2,"iProda 14"" Stream Laptop, Intel i3 Notebook (up to 2.4GHz), 8GB Memory, 256GB SSD, Full HD IPS 19201080 Display, Windows 10 Pro, Perfect PC for Student and Home use (Intel i3)",IProda,12442, Computers & Accessories ,13.07 x 8.78 x 0.59 ,4.4,2020-11-10,,T1406P3,10 Hours,1 Lithium Polymer batteries required. (included),,Intel,110 Volts (DC),N1406P3,,Bluetooth,1920x1080 ,14.1 ,Windows 10 Pro,Silver,550,,,DDR3L-1600 SDRAM,Intel,1,2.5,ATA133,PC,
46,B08HHT31TS,"2020 HP 15.6"" HD LED Display Laptop, Intel Pentium Gold 6405U Processor, 4GB DDR4 RAM, 128GB SSD, HDMI, Webcam, WI-FI, Windows 10 S, Scarlet Red",HP,3408, Computers & Accessories ,15 x 13.3 x 0.8 ,6.0,2020-09-06,,dw1083wm,,1 Lithium ion batteries required. (included),Integrated,Intel,,15-red,,802.11ac,1366x768 ,15.6 ,Windows 10,Red,Intel UHD Graphics 605,,,DDR4 SDRAM,Intel,2,2.4,Solid State,PC,128 GB
47,B087N5LKNL,"Newest HP 14"" HD WLED Backlit High Performance Business Laptop, AMD Athlon Silver 3050U up to 3.2GHz, 4GB DDR4, 128GB SSD, Wireless-AC, HDMI, Bluetooth, Webcam, SD Card Reader, Windows 10 S",HP,1735, Computers & Accessories ,15 x 10 x 1 ,4.4,2020-04-23,,14,,1 Lithium Polymer batteries required.,,,,HP,,802.11ac,1366 x 768 ,14 ,Windows 10 S,Black,AMD Radeon Graphics,,,DDR4 SDRAM,AMD,2,3.2,Solid State,PC,128 GB
48,B087SD98F4,"HP Pavilion Laptop, 15.6"" Full HD IPS Touchscreen, 10th Gen Intel Core i5-1035G1 Processor up to 3.60GHz, 12GB RAM, 512GB PCIe NVMe SSD, Backlit Keyboard, HDMI, Wireless-AC, Bluetooth, Windows 10 Home",HP,299, Computers & Accessories ,14.24 x 9.67 x 0.7 ,4.08,2020-04-28,,Pavilion,10 Hours,1 Lithium ion batteries required. (included),,Intel,,Pavilion,,"Bluetooth, 802.11b",1920 x 1080 ,15.6 ,Windows 10,Grey,Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,3.6,PCIE x 4,PC,512 GB
